,id,group,slice,height,width,img_path,msk_path
0,kidney_1_dense_0000,kidney_1_dense,0,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0000.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0000.tif
1,kidney_1_dense_0001,kidney_1_dense,1,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0001.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0001.tif
2,kidney_1_dense_0002,kidney_1_dense,2,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0002.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0002.tif
3,kidney_1_dense_0003,kidney_1_dense,3,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0003.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0003.tif
4,kidney_1_dense_0004,kidney_1_dense,4,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0004.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0004.tif
5,kidney_1_dense_0005,kidney_1_dense,5,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0005.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0005.tif
6,kidney_1_dense_0006,kidney_1_dense,6,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0006.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0006.tif
7,kidney_1_dense_0007,kidney_1_dense,7,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0007.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0007.tif
8,kidney_1_dense_0008,kidney_1_dense,8,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0008.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0008.tif
9,kidney_1_dense_0009,kidney_1_dense,9,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0009.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0009.tif
10,kidney_1_dense_0010,kidney_1_dense,10,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0010.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0010.tif
11,kidney_1_dense_0011,kidney_1_dense,11,1303,912,blood-vessel-segmentation/train/kidney_1_dense/images/0011.tif,blood-vessel-segmentation/train/kidney_1_dense/labels/0011.tif
